epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,29202.4,1.40789,2.52582,0.65664,0.81088,0.59794,0.67768,0.38477,1.36526,2.36092,0.6395,0.0050005,0.0050005,0.0050005
103,29486.7,1.39754,2.52957,0.65799,0.80786,0.59358,0.67586,0.38508,1.3659,2.37324,0.64192,0.004951,0.004951,0.004951
104,29771.3,1.40483,2.50739,0.65509,0.80892,0.60109,0.67999,0.38914,1.34941,2.35682,0.63739,0.0049015,0.0049015,0.0049015
105,30055.7,1.3872,2.48211,0.65385,0.78913,0.60424,0.67796,0.38548,1.35937,2.35971,0.63964,0.004852,0.004852,0.004852
106,30340.6,1.40818,2.50771,0.65536,0.80012,0.60054,0.67661,0.38798,1.36029,2.35975,0.63996,0.0048025,0.0048025,0.0048025
107,30624.9,1.39859,2.49435,0.65473,0.80564,0.60185,0.68142,0.39073,1.36218,2.34364,0.64131,0.004753,0.004753,0.004753
108,30909.6,1.39819,2.49978,0.65561,0.8014,0.60113,0.68388,0.39326,1.34999,2.33976,0.63982,0.0047035,0.0047035,0.0047035
109,31194.3,1.40203,2.49981,0.6568,0.8243,0.58615,0.67669,0.39114,1.34196,2.36282,0.63661,0.004654,0.004654,0.004654
110,31478.6,1.39199,2.50069,0.65452,0.81771,0.59989,0.68595,0.39238,1.35125,2.34036,0.63786,0.0046045,0.0046045,0.0046045
111,31763.7,1.3995,2.50384,0.65403,0.81792,0.59825,0.68729,0.3917,1.3515,2.314,0.63959,0.004555,0.004555,0.004555
112,32048.1,1.39905,2.49974,0.65538,0.82244,0.5981,0.68477,0.39332,1.34806,2.32306,0.6382,0.0045055,0.0045055,0.0045055
113,32332.8,1.38095,2.4654,0.65211,0.81298,0.59976,0.6875,0.39329,1.34402,2.31639,0.63696,0.004456,0.004456,0.004456
114,32617.1,1.38428,2.45843,0.65108,0.80863,0.60314,0.68483,0.39272,1.35347,2.3413,0.63681,0.0044065,0.0044065,0.0044065
