epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,20193.5,1.58646,3.27951,0.73216,0.78129,0.60865,0.67843,0.35607,1.53685,2.78293,0.70192,0.006634,0.006634,0.006634
70,20487.7,1.58759,3.26192,0.73339,0.78484,0.60517,0.67582,0.35565,1.52811,2.81917,0.69878,0.0065845,0.0065845,0.0065845
71,20758,1.58107,3.25859,0.73164,0.78663,0.60542,0.67809,0.35852,1.53693,2.80416,0.69956,0.006535,0.006535,0.006535
72,21028.3,1.58809,3.26353,0.73348,0.78266,0.60533,0.67939,0.36415,1.5172,2.80281,0.69551,0.0064855,0.0064855,0.0064855
73,21298.4,1.57451,3.22043,0.72881,0.78298,0.60671,0.67663,0.3653,1.50129,2.76183,0.69368,0.006436,0.006436,0.006436
74,21570.3,1.58854,3.23031,0.72956,0.7982,0.61119,0.68195,0.36522,1.51925,2.77971,0.699,0.0063865,0.0063865,0.0063865
75,21844.5,1.56828,3.20853,0.72866,0.78495,0.61486,0.6826,0.36819,1.51173,2.76417,0.69537,0.006337,0.006337,0.006337
76,22140.1,1.57821,3.21905,0.72806,0.78475,0.61515,0.6876,0.36867,1.50073,2.74888,0.69319,0.0062875,0.0062875,0.0062875
77,22441.7,1.56943,3.19035,0.73006,0.79454,0.61583,0.68862,0.37405,1.48371,2.73655,0.69084,0.006238,0.006238,0.006238
78,22739.9,1.5576,3.17389,0.72801,0.79143,0.60946,0.68031,0.36555,1.50718,2.74239,0.69357,0.0061885,0.0061885,0.0061885
79,23042.5,1.56445,3.1906,0.72646,0.77353,0.62288,0.68497,0.37246,1.49994,2.72538,0.69361,0.006139,0.006139,0.006139
80,23338.9,1.56508,3.17226,0.72521,0.79103,0.61727,0.68648,0.37099,1.50549,2.73931,0.69166,0.0060895,0.0060895,0.0060895
81,23618.6,1.56609,3.19365,0.72827,0.79106,0.61351,0.68923,0.37299,1.49674,2.72974,0.69018,0.00604,0.00604,0.00604
82,23891.2,1.55357,3.13442,0.7244,0.80211,0.60596,0.68891,0.37323,1.48299,2.72717,0.68845,0.0059905,0.0059905,0.0059905
83,24185.2,1.56083,3.1389,0.72131,0.79687,0.61882,0.6918,0.37214,1.49052,2.71352,0.68955,0.005941,0.005941,0.005941
84,24483.8,1.56008,3.13475,0.72426,0.80192,0.61614,0.69239,0.36984,1.51425,2.73019,0.69251,0.0058915,0.0058915,0.0058915
85,24782.6,1.55912,3.13809,0.72559,0.8031,0.61126,0.69195,0.37222,1.50311,2.69883,0.69137,0.005842,0.005842,0.005842
86,25071.1,1.55956,3.15285,0.72108,0.7885,0.619,0.69464,0.37425,1.49713,2.67206,0.6914,0.0057925,0.0057925,0.0057925
87,25361.6,1.56684,3.14029,0.72687,0.79859,0.61137,0.68937,0.37381,1.50016,2.68967,0.68891,0.005743,0.005743,0.005743
88,25662.6,1.54644,3.1053,0.72413,0.80568,0.60822,0.69143,0.37219,1.50499,2.68783,0.69092,0.0056935,0.0056935,0.0056935
89,25959,1.56107,3.13988,0.72261,0.79119,0.62349,0.6941,0.37674,1.49485,2.68186,0.6882,0.005644,0.005644,0.005644
90,26242,1.5449,3.09856,0.72345,0.79259,0.61676,0.69191,0.37558,1.49547,2.68259,0.68943,0.0055945,0.0055945,0.0055945
91,26540.1,1.55536,3.13508,0.72458,0.78033,0.62247,0.68978,0.37567,1.48844,2.69357,0.68657,0.005545,0.005545,0.005545
92,26836.6,1.54959,3.09727,0.72278,0.79734,0.61462,0.69209,0.3782,1.47249,2.67792,0.68501,0.0054955,0.0054955,0.0054955
93,27118.6,1.54741,3.0803,0.71849,0.79191,0.61606,0.69422,0.37892,1.48999,2.67511,0.68792,0.005446,0.005446,0.005446
94,27398.4,1.54126,3.06933,0.71761,0.7878,0.62374,0.69813,0.37748,1.4851,2.64864,0.68467,0.0053965,0.0053965,0.0053965
95,27675.9,1.53534,3.07227,0.71739,0.7883,0.62316,0.70115,0.38018,1.48705,2.63045,0.68767,0.005347,0.005347,0.005347
96,32299.9,1.5469,3.08298,0.7193,0.79923,0.61528,0.69568,0.37604,1.49096,2.65195,0.68591,0.0052975,0.0052975,0.0052975
97,32631.6,1.52941,3.04294,0.71503,0.79798,0.6207,0.69646,0.38271,1.47181,2.64348,0.68263,0.005248,0.005248,0.005248
98,32951.6,1.54297,3.08731,0.72098,0.78919,0.62187,0.69782,0.38214,1.46301,2.62131,0.68213,0.0051985,0.0051985,0.0051985
99,33220,1.54176,3.05761,0.7139,0.78559,0.62176,0.69876,0.38348,1.46317,2.61833,0.68355,0.005149,0.005149,0.005149
100,33486.7,1.53436,3.01775,0.7159,0.78988,0.62545,0.69905,0.37983,1.49396,2.60899,0.68584,0.0050995,0.0050995,0.0050995
101,33754.5,1.53582,3.05015,0.71902,0.78629,0.62304,0.69681,0.38167,1.47687,2.6144,0.68439,0.00505,0.00505,0.00505
102,34022,1.53098,3.03458,0.71499,0.80568,0.61442,0.70143,0.38273,1.46938,2.61301,0.68115,0.0050005,0.0050005,0.0050005
