epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,114137,1.10215,0.65074,0.91407,0.77311,0.66127,0.73121,0.40358,1.52645,0.8947,1.04734,0.005149,0.005149,0.005149
100,115289,1.07299,0.62953,0.90191,0.79173,0.68139,0.74602,0.40645,1.47976,0.85782,1.0237,0.0050995,0.0050995,0.0050995
101,116450,1.06163,0.61861,0.90142,0.78757,0.66954,0.74614,0.42266,1.47703,0.88672,1.02222,0.00505,0.00505,0.00505
102,117599,1.08483,0.63462,0.90763,0.80401,0.65094,0.73433,0.40772,1.48939,0.89877,1.02885,0.0050005,0.0050005,0.0050005
103,118746,1.0729,0.63303,0.90723,0.85556,0.62399,0.75462,0.41819,1.48045,0.88065,1.02171,0.004951,0.004951,0.004951
104,119898,1.06013,0.62291,0.90333,0.80834,0.66502,0.74349,0.40757,1.49962,0.89045,1.02508,0.0049015,0.0049015,0.0049015
105,121048,1.04635,0.61562,0.90083,0.7783,0.65633,0.73595,0.41673,1.43613,0.93457,1.01861,0.004852,0.004852,0.004852
106,122193,1.05421,0.60732,0.89929,0.80516,0.68464,0.75558,0.42038,1.46961,0.87841,1.02499,0.0048025,0.0048025,0.0048025
107,123352,1.05924,0.62542,0.90531,0.81156,0.67912,0.75587,0.41927,1.48452,0.86376,1.01537,0.004753,0.004753,0.004753
108,124498,1.07032,0.62314,0.90172,0.86136,0.64825,0.75326,0.41547,1.48185,0.86582,1.01311,0.0047035,0.0047035,0.0047035
109,125625,1.05871,0.62071,0.90395,0.82383,0.64912,0.74766,0.41475,1.50154,0.88063,1.00725,0.004654,0.004654,0.004654
110,126752,1.05832,0.61467,0.90073,0.78478,0.65903,0.73022,0.41609,1.4712,0.87834,1.0114,0.0046045,0.0046045,0.0046045
111,127882,1.06094,0.61116,0.89521,0.80225,0.64555,0.7298,0.41305,1.48851,0.88978,1.0236,0.004555,0.004555,0.004555
112,129017,1.03268,0.59932,0.89269,0.82097,0.66846,0.75159,0.4233,1.46556,0.87003,1.0132,0.0045055,0.0045055,0.0045055
113,130161,1.04494,0.60289,0.89796,0.8229,0.65751,0.74606,0.41251,1.49205,0.89754,1.02468,0.004456,0.004456,0.004456
114,131302,1.04764,0.60631,0.8998,0.81384,0.67168,0.75292,0.41869,1.47276,0.88795,1.0132,0.0044065,0.0044065,0.0044065
115,132431,1.02519,0.58845,0.89043,0.80512,0.66256,0.73832,0.41843,1.43588,0.90521,1.00932,0.004357,0.004357,0.004357
116,133568,1.05079,0.61353,0.89677,0.80332,0.66442,0.75337,0.42454,1.46624,0.89821,1.01116,0.0043075,0.0043075,0.0043075
117,134696,1.03902,0.59867,0.89596,0.82424,0.65903,0.7462,0.42322,1.46279,0.84816,1.0185,0.004258,0.004258,0.004258
118,135804,1.04008,0.59704,0.89296,0.82469,0.65933,0.74852,0.41547,1.48817,0.87986,1.01126,0.0042085,0.0042085,0.0042085
